"","strain","glc","Fv.Fm","interact"
"1","hxk1-1","-",0.722,"hxk1-1.-"
"2","hxk1-1","-",0.728,"hxk1-1.-"
"3","hxk1-1","-",0.72,"hxk1-1.-"
"4","hxk1-1","-",0.726,"hxk1-1.-"
"5","hxk1-1","+",0.702,"hxk1-1.+"
"6","hxk1-1","+",0.71,"hxk1-1.+"
"7","hxk1-1","+",0.707,"hxk1-1.+"
"8","hxk1-1","+",0.706,"hxk1-1.+"
"9","hxk1-2","-",0.664,"hxk1-2.-"
"10","hxk1-2","-",0.674,"hxk1-2.-"
"11","hxk1-2","-",0.67,"hxk1-2.-"
"12","hxk1-2","-",0.668,"hxk1-2.-"
"13","hxk1-2","+",0.606,"hxk1-2.+"
"14","hxk1-2","+",0.629,"hxk1-2.+"
"15","hxk1-2","+",0.599,"hxk1-2.+"
"16","hxk1-2","+",0.71,"hxk1-2.+"
"17","wt","-",0.698,"wt.-"
"18","wt","-",0.703,"wt.-"
"19","wt","-",0.702,"wt.-"
"20","wt","-",0.701,"wt.-"
"21","wt","+",0.051,"wt.+"
"22","wt","+",0.083,"wt.+"
"23","wt","+",0.063,"wt.+"
"24","wt","+",0.097,"wt.+"
