"","strain","biological.replicate","glc","time","biomass"
"1","Hxk1-1","A","(-)",0,196748796
"2","Hxk1-1","B","(-)",0,153671090.4
"3","Hxk1-1","C","(-)",0,163402444.4
"4","Hxk1-1","D","(-)",0,199211750.3
"5","Hxk1-1","E","(-)",0,261864897.7
"6","Hxk1-1","F","(-)",0,89682849.05
"7","Hxk1-1","G","(-)",0,67777965.93
"8","Hxk1-1","H","(-)",0,200749506.2
"9","Hxk1-1","A","(+)",0,202357994.7
"10","Hxk1-1","B","(+)",0,155721120
"11","Hxk1-1","C","(+)",0,92916572.54
"12","Hxk1-1","D","(+)",0,255847880.4
"13","Hxk1-1","E","(+)",0,151892460.8
"14","Hxk1-1","F","(+)",0,105549378.8
"15","Hxk1-1","H","(+)",0,169607627.3
"16","Hxk1-1","A","(+) Dark",0,173167931.3
"17","Hxk1-1","B","(+) Dark",0,208579341.5
"18","Hxk1-1","C","(+) Dark",0,193561941.5
"19","Hxk1-1","D","(+) Dark",0,240952570.2
"20","Hxk1-1","E","(+) Dark",0,194852652.9
"21","Hxk1-1","F","(+) Dark",0,116424340.1
"22","Hxk1-1","G","(+) Dark",0,254496539.3
"23","Hxk1-1","H","(+) Dark",0,206773272.3
"24","Hxk1-1","A","(-)",24,293610582.2
"25","Hxk1-1","B","(-)",24,188175019.3
"26","Hxk1-1","C","(-)",24,231595714.8
"27","Hxk1-1","D","(-)",24,235346771.7
"28","Hxk1-1","E","(-)",24,311568412.6
"29","Hxk1-1","F","(-)",24,261406210.8
"30","Hxk1-1","G","(-)",24,193247974.4
"31","Hxk1-1","H","(-)",24,214658635
"32","Hxk1-1","A","(+)",24,146474312.1
"33","Hxk1-1","B","(+)",24,314225504
"34","Hxk1-1","C","(+)",24,245984074.4
"35","Hxk1-1","D","(+)",24,285331406.7
"36","Hxk1-1","E","(+)",24,243176815.3
"37","Hxk1-1","F","(+)",24,195092032.4
"38","Hxk1-1","H","(+)",24,137572754.8
"39","Hxk1-1","A","(+) Dark",24,235160573.1
"40","Hxk1-1","B","(+) Dark",24,154741698.3
"41","Hxk1-1","C","(+) Dark",24,252267595.8
"42","Hxk1-1","D","(+) Dark",24,286996871.1
"43","Hxk1-1","E","(+) Dark",24,223961936.6
"44","Hxk1-1","F","(+) Dark",24,301552136.8
"45","Hxk1-1","G","(+) Dark",24,320222652.2
"46","Hxk1-1","H","(+) Dark",24,242843432.4
"47","Hxk1-1","A","(-)",48,452366943.3
"48","Hxk1-1","B","(-)",48,415346880.3
"49","Hxk1-1","C","(-)",48,313925758.5
"50","Hxk1-1","D","(-)",48,386856779.2
"51","Hxk1-1","E","(-)",48,455380794.1
"52","Hxk1-1","F","(-)",48,485481669
"53","Hxk1-1","G","(-)",48,341572181.5
"54","Hxk1-1","H","(-)",48,370402824.8
"55","Hxk1-1","A","(+)",48,473022983.2
"56","Hxk1-1","B","(+)",48,597713556.4
"57","Hxk1-1","C","(+)",48,576495828.1
"58","Hxk1-1","D","(+)",48,514613185.2
"59","Hxk1-1","E","(+)",48,518268680.1
"60","Hxk1-1","F","(+)",48,456018365.9
"61","Hxk1-1","H","(+)",48,381405952
"62","Hxk1-1","A","(+) Dark",48,381549396.2
"63","Hxk1-1","B","(+) Dark",48,357671914.1
"64","Hxk1-1","C","(+) Dark",48,453333226.4
"65","Hxk1-1","D","(+) Dark",48,381580314.1
"66","Hxk1-1","E","(+) Dark",48,405440648.2
"67","Hxk1-1","F","(+) Dark",48,444001345.2
"68","Hxk1-1","G","(+) Dark",48,464010650.1
"69","Hxk1-1","H","(+) Dark",48,386857121.1
"70","Hxk1-1","A","(-)",72,491824217.7
"71","Hxk1-1","B","(-)",72,469634641.3
"72","Hxk1-1","C","(-)",72,379525079
"73","Hxk1-1","D","(-)",72,467209569.4
"74","Hxk1-1","E","(-)",72,516431814.1
"75","Hxk1-1","F","(-)",72,508918407
"76","Hxk1-1","G","(-)",72,412794213
"77","Hxk1-1","H","(-)",72,534941843.1
"78","Hxk1-1","A","(+)",72,654539009.4
"79","Hxk1-1","B","(+)",72,775285435.1
"80","Hxk1-1","C","(+)",72,742576932.9
"81","Hxk1-1","D","(+)",72,744839400.1
"82","Hxk1-1","E","(+)",72,851605294.1
"83","Hxk1-1","F","(+)",72,787531753.1
"84","Hxk1-1","H","(+)",72,618770136.3
"85","Hxk1-1","A","(+) Dark",72,559290648
"86","Hxk1-1","B","(+) Dark",72,588601537.9
"87","Hxk1-1","C","(+) Dark",72,534748340.9
"88","Hxk1-1","D","(+) Dark",72,509921618.5
"89","Hxk1-1","E","(+) Dark",72,503007701.8
"90","Hxk1-1","F","(+) Dark",72,571432255.9
"91","Hxk1-1","G","(+) Dark",72,630134857.6
"92","Hxk1-1","H","(+) Dark",72,582145023.8
"93","Hxk1-1","A","(-)",96,495067058.7
"94","Hxk1-1","B","(-)",96,494254075.1
"95","Hxk1-1","C","(-)",96,439980728.6
"96","Hxk1-1","D","(-)",96,582279021.2
"97","Hxk1-1","E","(-)",96,721874247.5
"98","Hxk1-1","F","(-)",96,548906994.3
"99","Hxk1-1","G","(-)",96,568225543.9
"100","Hxk1-1","H","(-)",96,565307491.8
"101","Hxk1-1","A","(+)",96,915877372.9
"102","Hxk1-1","B","(+)",96,1224027307
"103","Hxk1-1","C","(+)",96,1033025350
"104","Hxk1-1","D","(+)",96,940106846.9
"105","Hxk1-1","E","(+)",96,996075807.7
"106","Hxk1-1","F","(+)",96,1101496818
"107","Hxk1-1","H","(+)",96,621564725.5
"108","Hxk1-1","A","(+) Dark",96,715821804.7
"109","Hxk1-1","B","(+) Dark",96,617162247.5
"110","Hxk1-1","C","(+) Dark",96,654912212.7
"111","Hxk1-1","D","(+) Dark",96,710938744
"112","Hxk1-1","E","(+) Dark",96,647175776.2
"113","Hxk1-1","F","(+) Dark",96,757563638.8
"114","Hxk1-1","G","(+) Dark",96,901604241
"115","Hxk1-1","H","(+) Dark",96,682054395.8
