"","strain","glc","O2coms","interact"
"1","wt","(-)",-0.570612867891985,"wt.(-)"
"2","wt","(-)",-0.717170278171611,"wt.(-)"
"3","wt","(-)",-0.225842566660407,"wt.(-)"
"4","wt","(+)",-6.40527960336856,"wt.(+)"
"5","wt","(+)",-5.29528741403762,"wt.(+)"
"6","wt","(+)",-5.28687838230027,"wt.(+)"
"7","hxk1-1","(-)",-0.962233488803116,"hxk1-1.(-)"
"8","hxk1-1","(-)",-0.509347065234109,"hxk1-1.(-)"
"9","hxk1-1","(-)",-0.993467035256151,"hxk1-1.(-)"
"10","hxk1-1","(+)",-3.18341915771318,"hxk1-1.(+)"
"11","hxk1-1","(+)",-2.21157534692452,"hxk1-1.(+)"
"12","hxk1-1","(+)",-4.25016489810914,"hxk1-1.(+)"
"13","hxk1-2","(-)",-0.655904475513735,"hxk1-2.(-)"
"14","hxk1-2","(-)",-0.60184641434502,"hxk1-2.(-)"
"15","hxk1-2","(-)",-0.604248994841407,"hxk1-2.(-)"
"16","hxk1-2","(+)",-2.99241400825039,"hxk1-2.(+)"
"17","hxk1-2","(+)",-3.11134174282156,"hxk1-2.(+)"
"18","hxk1-2","(+)",-3.01764110346246,"hxk1-2.(+)"
