"","strain","glc","pigment","nmol","interact"
"1","WT","(-)","aa_lutein",310.8703748,"aa_lutein.(-)"
"2","WT","(-)","aa_lutein",319.0499682,"aa_lutein.(-)"
"3","WT","(-)","aa_lutein",315.786621,"aa_lutein.(-)"
"4","WT","(-)","aa_lutein",303.4378364,"aa_lutein.(-)"
"5","WT","(+)","aa_lutein",441.2680358,"aa_lutein.(+)"
"6","WT","(+)","aa_lutein",441.5628462,"aa_lutein.(+)"
"7","WT","(+)","aa_lutein",441.6589608,"aa_lutein.(+)"
"8","WT","(+)","aa_lutein",429.2969273,"aa_lutein.(+)"
"9","WT","(-)","ab_violaxanthin ",56.25761717,"ab_violaxanthin .(-)"
"10","WT","(-)","ab_violaxanthin ",60.94758072,"ab_violaxanthin .(-)"
"11","WT","(-)","ab_violaxanthin ",57.73236759,"ab_violaxanthin .(-)"
"12","WT","(-)","ab_violaxanthin ",50.72625531,"ab_violaxanthin .(-)"
"13","WT","(+)","ab_violaxanthin ",24.89768675,"ab_violaxanthin .(+)"
"14","WT","(+)","ab_violaxanthin ",33.13516483,"ab_violaxanthin .(+)"
"15","WT","(+)","ab_violaxanthin ",33.57025374,"ab_violaxanthin .(+)"
"16","WT","(+)","ab_violaxanthin ",28.58840453,"ab_violaxanthin .(+)"
"17","WT","(-)","antheraxanthin ",26.5946116,"antheraxanthin .(-)"
"18","WT","(-)","antheraxanthin ",32.20058561,"antheraxanthin .(-)"
"19","WT","(-)","antheraxanthin ",25.7202846,"antheraxanthin .(-)"
"20","WT","(-)","antheraxanthin ",21.87745803,"antheraxanthin .(-)"
"21","WT","(+)","antheraxanthin ",17.02361338,"antheraxanthin .(+)"
"22","WT","(+)","antheraxanthin ",15.25611974,"antheraxanthin .(+)"
"23","WT","(+)","antheraxanthin ",17.35439591,"antheraxanthin .(+)"
"24","WT","(+)","antheraxanthin ",13.90958352,"antheraxanthin .(+)"
"25","WT","(-)","c_zeaxanthin ",32.74259242,"c_zeaxanthin .(-)"
"26","WT","(-)","c_zeaxanthin ",27.76154332,"c_zeaxanthin .(-)"
"27","WT","(-)","c_zeaxanthin ",31.71263076,"c_zeaxanthin .(-)"
"28","WT","(-)","c_zeaxanthin ",35.85208241,"c_zeaxanthin .(-)"
"29","WT","(+)","c_zeaxanthin ",160.8519135,"c_zeaxanthin .(+)"
"30","WT","(+)","c_zeaxanthin ",175.1129688,"c_zeaxanthin .(+)"
"31","WT","(+)","c_zeaxanthin ",163.6591673,"c_zeaxanthin .(+)"
"32","WT","(+)","c_zeaxanthin ",195.8742834,"c_zeaxanthin .(+)"
"33","WT","(-)","d_neoxanthin ",68.96570508,"d_neoxanthin .(-)"
"34","WT","(-)","d_neoxanthin ",63.54300456,"d_neoxanthin .(-)"
"35","WT","(-)","d_neoxanthin ",64.50646619,"d_neoxanthin .(-)"
"36","WT","(-)","d_neoxanthin ",66.75497066,"d_neoxanthin .(-)"
"37","WT","(+)","d_neoxanthin ",79.67600452,"d_neoxanthin .(+)"
"38","WT","(+)","d_neoxanthin ",58.25121034,"d_neoxanthin .(+)"
"39","WT","(+)","d_neoxanthin ",58.82698666,"d_neoxanthin .(+)"
"40","WT","(+)","d_neoxanthin ",55.58303808,"d_neoxanthin .(+)"
"41","WT","(-)","E_B-carotene",72.84835532,"E_B-carotene.(-)"
"42","WT","(-)","E_B-carotene",81.46414252,"E_B-carotene.(-)"
"43","WT","(-)","E_B-carotene",68.86299452,"E_B-carotene.(-)"
"44","WT","(-)","E_B-carotene",78.19528257,"E_B-carotene.(-)"
"45","WT","(+)","E_B-carotene",466.9116552,"E_B-carotene.(+)"
"46","WT","(+)","E_B-carotene",491.6345662,"E_B-carotene.(+)"
"47","WT","(+)","E_B-carotene",443.0796115,"E_B-carotene.(+)"
"48","WT","(+)","E_B-carotene",380.5256219,"E_B-carotene.(+)"
