culture	day	dilution	od750
WT1	0	1	0.026
WT2	0	1	0.026
WT3	0	1	0.026
WT4	0	1	0.026
KmR1	0	1	0.026
KmR2	0	1	0.026
KmR3	0	1	0.026
KmR4	0	1	0.026
WT1	1	1	0.073
WT2	1	1	0.079
WT3	1	1	0.066
WT4	1	1	0.076
KmR1	1	1	0.056
KmR2	1	1	0.077
KmR3	1	1	0.062
KmR4	1	1	0.064
WT1	2	1	0.108
WT2	2	1	0.123
WT3	2	1	0.137
WT4	2	1	0.184
KmR1	2	1	0.094
KmR2	2	1	0.106
KmR3	2	1	0.103
KmR4	2	1	0.105
WT1	3	1	0.178
WT2	3	1	0.171
WT3	3	1	0.204
WT4	3	1	0.239
KmR1	3	1	0.137
KmR2	3	1	0.125
KmR3	3	1	0.125
KmR4	3	1	0.128
WT1	4	1	0.221
WT2	4	1	0.232
WT3	4	1	0.268
WT4	4	1	0.285
KmR1	4	1	0.162
KmR2	4	1	0.143
KmR3	4	1	0.148
KmR4	4	1	0.185
WT1	4	2	0.034
WT2	4	2	0.031
WT3	4	2	0.036
WT4	4	2	0.037
KmR1	4	2	0.021
KmR2	4	2	0.018
KmR3	4	2	0.017
KmR4	4	2	0.022
WT1	5	2	0.073
WT2	5	2	0.085
WT3	5	2	0.099
WT4	5	2	0.096
KmR1	5	2	0.056
KmR2	5	2	0.046
KmR3	5	2	0.053
KmR4	5	2	0.05
WT1	6	2	0.113
WT2	6	2	0.123
WT3	6	2	0.157
WT4	6	2	0.16
KmR1	6	2	0.1
KmR2	6	2	0.072
KmR3	6	2	0.093
KmR4	6	2	0.089
WT1	7	2	0.182
WT2	7	2	0.187
WT3	7	2	0.203
WT4	7	2	0.24
KmR1	7	2	0.13
KmR2	7	2	0.1
KmR3	7	2	0.124
KmR4	7	2	0.119
WT1	8	2	0.238
WT2	8	2	0.243
WT3	8	2	0.247
WT4	8	2	0.288
KmR1	8	2	0.134
KmR2	8	2	0.122
KmR3	8	2	0.145
KmR4	8	2	0.147
WT1	8	3	0.061
WT2	8	3	0.067
WT3	8	3	0.068
WT4	8	3	0.079
KmR1	8	3	0.031
KmR2	8	3	0.027
KmR3	8	3	0.039
KmR4	8	3	0.037
WT1	9	3	0.112
WT2	9	3	0.104
WT3	9	3	0.108
WT4	9	3	0.122
KmR1	9	3	0.064
KmR2	9	3	0.069
KmR3	9	3	0.07
KmR4	9	3	0.082
WT1	10	3	0.14
WT2	10	3	0.135
WT3	10	3	0.136
WT4	10	3	0.152
KmR1	10	3	0.081
KmR2	10	3	0.088
KmR3	10	3	0.083
KmR4	10	3	0.091
KmR1	11	3	0.132
KmR2	11	3	0.109
KmR3	11	3	0.11
KmR4	11	3	0.131
